,classifier,training_error,testing_error
0,1,557,530
1,2,2074,2095
2,3,821,806
3,4,1442,1427
4,5,3154,3182
5,6,1513,1469
6,7,2283,2339
7,8,1245,1279
8,9,2564,2607
9,10,2162,2184
10,11,2153,2141
11,12,3233,3305
12,13,2299,2238
13,14,1475,1542
14,15,3207,3137
15,16,3010,2973
16,17,1738,1769
17,18,2127,2144
18,19,1838,1896
19,20,3149,3151
20,21,1716,1716
21,22,2525,2579
22,23,2244,2238
23,24,2529,2504
24,25,3101,3051
25,26,2198,2185
26,27,2639,2648
27,28,2642,2654
28,29,2354,2337
29,30,2766,2766
30,31,2274,2255
31,32,2825,2826
32,33,2110,2099
33,34,3047,3077
34,35,1347,1347
35,36,3532,3489
36,37,2110,2099
37,38,3047,3077
38,39,1747,1728
39,40,3126,3100
40,41,2111,2105
41,42,2696,2701
42,43,2810,2769
43,44,2419,2437
44,45,999,1012
45,46,3220,3201
46,47,3398,3362
47,48,2419,2437
48,49,1017,1028
49,50,3202,3185
50,51,2637,2663
51,52,3039,2988
52,53,1924,1889
53,54,2436,2472
54,55,3381,3361
55,56,2295,2290
56,57,1180,1191
57,58,2962,2953
58,59,2851,2881
59,60,3101,3075
60,61,2275,2195
61,62,1809,1861
62,63,3216,3198
63,64,2736,2758
64,65,1105,1102
65,66,2979,2954
66,67,2909,2916
67,68,3043,3040
68,69,1807,1751
69,70,2277,2305
70,71,3621,3593
71,72,2641,2698
72,73,1195,1148
73,74,2362,2320
74,75,2663,2739
75,76,3413,3388
76,77,1963,1882
77,78,2214,2256
78,79,3621,3593
79,80,2641,2698
80,81,795,767
81,82,2762,2701
82,83,3085,3135
83,84,2991,2992
84,85,2341,2248
85,86,1836,1890
86,87,3217,3213
87,88,2987,2990
88,89,1257,1235
89,90,2416,2409
90,91,2587,2635
91,92,3437,3412
92,93,1975,1890
93,94,2568,2619
94,95,3249,3214
95,96,2217,2230
96,97,1619,1616
97,98,2408,2401
98,99,2617,2658
99,100,3329,3306
