,iterations,training_error,testing_error
0,1,557,704
1,2,557,704
2,3,557,704
3,4,557,704
4,5,557,704
5,6,529,747
6,7,529,747
7,8,532,757
8,9,522,767
9,10,525,751
10,11,527,765
11,12,527,762
12,13,527,771
13,14,530,764
14,15,529,765
15,16,527,756
16,17,531,752
17,18,531,756
18,19,531,756
19,20,531,756
20,21,529,758
21,22,529,757
22,23,529,757
23,24,529,757
24,25,530,757
25,26,530,757
26,27,530,757
27,28,530,757
28,29,530,757
29,30,530,757
30,31,530,757
31,32,530,757
32,33,530,757
33,34,530,757
34,35,530,757
35,36,530,757
36,37,530,757
37,38,530,757
38,39,530,757
39,40,530,757
40,41,530,757
41,42,530,757
42,43,530,757
43,44,530,757
44,45,530,757
45,46,530,757
46,47,530,757
47,48,530,757
48,49,530,757
49,50,530,757
50,51,530,757
51,52,530,757
52,53,530,757
53,54,530,757
54,55,530,757
55,56,530,757
56,57,530,757
57,58,530,757
58,59,530,757
59,60,530,757
60,61,530,757
61,62,530,757
62,63,530,757
63,64,530,757
64,65,530,757
65,66,530,757
66,67,530,757
67,68,530,757
68,69,530,757
69,70,530,757
70,71,530,757
71,72,530,757
72,73,530,757
73,74,530,757
74,75,530,757
75,76,530,757
76,77,530,757
77,78,530,757
78,79,530,757
79,80,530,757
80,81,530,757
81,82,530,757
82,83,530,757
83,84,530,757
84,85,530,757
85,86,530,757
86,87,530,757
87,88,530,757
88,89,530,757
89,90,530,757
90,91,530,757
91,92,530,757
92,93,530,757
93,94,530,757
94,95,530,757
95,96,530,757
96,97,530,757
97,98,530,757
98,99,530,757
99,100,530,757
100,101,530,757
101,102,530,757
102,103,530,757
103,104,530,757
104,105,530,757
105,106,530,757
106,107,530,757
107,108,530,757
108,109,530,757
109,110,530,757
110,111,530,757
111,112,530,757
112,113,530,757
113,114,530,757
114,115,530,757
115,116,530,757
116,117,530,757
117,118,530,757
118,119,530,757
119,120,530,757
120,121,530,757
121,122,530,757
122,123,530,757
123,124,530,757
124,125,530,757
125,126,530,757
126,127,530,757
127,128,530,757
128,129,530,757
129,130,528,755
130,131,528,755
131,132,528,755
132,133,528,755
133,134,528,755
134,135,528,755
135,136,528,755
136,137,528,755
137,138,528,755
138,139,528,755
139,140,528,755
140,141,528,755
141,142,528,755
142,143,528,755
143,144,528,755
144,145,528,755
145,146,528,755
146,147,528,755
147,148,528,755
148,149,528,755
149,150,528,755
150,151,528,755
151,152,528,755
152,153,528,755
153,154,528,755
154,155,528,755
155,156,528,755
156,157,528,755
157,158,528,755
158,159,528,755
159,160,528,755
160,161,528,755
161,162,528,755
162,163,528,755
163,164,528,755
164,165,528,755
165,166,528,755
166,167,528,755
167,168,528,755
168,169,528,755
169,170,528,755
170,171,528,755
171,172,528,755
172,173,528,755
173,174,528,755
174,175,528,755
175,176,528,755
176,177,528,755
177,178,528,755
178,179,528,755
179,180,528,755
180,181,528,755
181,182,528,755
182,183,528,755
183,184,528,755
184,185,528,755
185,186,528,755
186,187,528,755
187,188,528,755
188,189,528,755
189,190,528,755
190,191,528,755
191,192,528,755
192,193,528,755
193,194,528,755
194,195,528,755
195,196,528,755
196,197,528,755
197,198,528,755
198,199,528,755
199,200,528,755
200,201,528,755
201,202,528,755
202,203,528,755
203,204,528,755
204,205,528,755
205,206,528,755
206,207,528,755
207,208,528,755
208,209,528,755
209,210,528,755
210,211,528,755
211,212,528,755
212,213,528,755
213,214,528,755
214,215,528,755
215,216,528,755
216,217,528,755
217,218,528,755
218,219,528,755
219,220,528,755
220,221,528,755
221,222,528,755
222,223,528,755
223,224,528,755
224,225,528,755
225,226,528,755
226,227,528,755
227,228,528,755
228,229,528,755
229,230,528,755
230,231,528,755
231,232,528,755
232,233,528,755
233,234,528,755
234,235,528,755
